DATE,OPERATING_SYSTEM,DEVICE_TYPE,MARKETING_CHANNEL,PAYMENT_METHOD,PRODUCT_NAME,SOURCE_TABLE,SE%,ORDER_PER_CART,UPGRADES,CART_ABANDON,CHECKOUTS,USERS,TIME_SPENT_PER_VISIT,MV,ATC%,VISITS,UNITS,REVENUE,CVR%,CRASHES,LAUNCHES,QV%,ATC,MV%,SITE_SEARCH,INSTALLS,UNIQUE_VISITORS,ORDERS,QV,PRODUCT_VIEWS,AOV
2023-07-31 14:00:00.000,Android,Set-top Box,Social Media Campaigns,Bank Transfer,S4,app_data_source_1,65.69,5.83,69.1,57.87,9.5,694.9,18.57,480.93,18.33,2044.04,2.9,2248.82,71.93,38.44,751.94,28.95,476.58,62.06,253.78,458.15,2665.51,21.74,255.14,123.74,103.441582337
2025-04-14 13:00:00.000,Windows,Television,Gen AI Search,GPay,F3,app_data_source_3,76.55,2.87,78.86,115.22,248.96,1635.8,19.58,732.62,21.22,3140.4,375,3310.94,13.97,10.64,350.87,85.3,431.72,28.55,29.75,348.54,2735.08,152.41,28.85,4813,21.723902631
2025-02-23 06:00:00.000,Linux,Tablet,Paid Search,GPay,S3,app_data_source_2,68.96,7.82,80.67,1.99,16.84,4466.08,17.57,283.09,20.69,4245.5,215.09,842.92,0.18,20.79,305.07,73.73,215.96,66.59,98.41,387.91,2821.28,163.29,200.17,9769.41,5.162104232
2023-08-07 12:00:00.000,Windows,Other,Social Network Referrals,Debit Card,S1,app_data_source_3,33.2,5.49,14.5,64.78,131.83,243.53,10.04,211.21,74.14,1756.57,364.41,1618.39,62.8,41.94,56.85,3.96,283.46,60.32,388.76,99.86,2957.65,295.8,630.8,1758.94,5.471230561
2023-12-30 22:00:00.000,Android,Tablet,Video,GPay,S3,app_data_source_3,25.25,4.56,33.65,106.43,62.81,3890.96,5.22,358.15,83.02,365.34,109.94,2289.81,1.23,28.81,621.21,85.35,166.46,68.12,167.72,33.35,488.9,257.91,657.4,9338.22,8.87832965
2025-05-20 10:00:00.000,Windows,Mobile Phone,Video,Debit Card,S2,app_data_source_3,34.6,7.61,36.19,115.21,108.19,553.16,2.95,430.01,82.68,4388.85,204.98,3808.7,87.79,38.86,42.88,84.98,290.29,97.97,151.37,133.57,811.79,112.83,668.77,2051.4,33.756093238
2025-03-12 13:00:00.000,iOS,Set-top Box,Social Network Referrals,Debit Card,S2,app_data_source_3,19.98,5.07,39.97,110.37,290.34,3306.14,7.26,854.75,28.98,3599.13,362.54,1120.38,77.24,15.42,574.04,54.47,147.42,4.57,37.47,419.48,1979.58,105.74,193.06,423.07,10.595611878
2023-06-19 09:00:00.000,Android,Tablet,Other Links,Bank Transfer,S1,app_data_source_2,40.82,3.92,96.26,129.85,104.74,4150.39,3.29,652.3,58.34,3903.24,360.76,4929.51,20.23,38.58,911.55,68.34,268.88,50.39,23.71,243.19,534.16,283.87,465.54,2687.41,17.365378518
2025-08-11 12:00:00.000,macOS,Mobile Phone,Social Media Campaigns,Debit Card,S2,app_data_source_3,30.22,5.36,13.29,34.35,191,1598.44,18.92,983.99,41.58,222.71,39.65,3689.02,73.09,23.63,222.79,89.44,447.07,62.37,200.8,298.13,2321.54,149.44,903.72,9105.86,24.685626338
2024-01-09 00:00:00.000,Android,Mobile Phone,QR code,Bank Transfer,S4,app_data_source_3,99.89,6.85,16.23,29.81,177.29,2244.75,8.52,131.57,56.36,4286.8,225.31,541.03,90.2,12.88,305.03,62.51,368.3,92.96,63.78,48.02,412.89,39.31,610.88,1673.23,13.763164589
2025-08-06 20:00:00.000,Linux,Tablet,QR code,Debit Card,S2,app_data_source_1,7.72,7.31,88.38,46,115.2,556.26,7.38,511.15,93.42,1461.17,318.62,1207.68,71.01,25.5,340.96,61.44,336.99,27.2,119.57,126.14,343.56,190.65,680.04,2989.52,6.334539732
2025-01-01 13:00:00.000,Windows,Tablet,QR code,Credit Card,S1,app_data_source_3,32.3,2.07,32.46,123.2,297.7,458.1,9.14,686.76,11.72,2293.57,498.41,3227.41,86.64,41.43,774.81,28.09,147.42,95.96,360.25,156.23,2895.54,106.68,902.32,7308.9,30.253187102
2025-08-13 17:00:00.000,macOS,Other,Video,Debit Card,S3,app_data_source_3,86.59,6.15,22.49,12.11,154.86,884.47,9.56,680.34,78.8,3869.62,233.71,4433.01,58.49,41.09,952.08,16.6,43.17,46.68,301.21,289.65,150.47,270.12,723.08,6415.02,16.411261661
2024-11-26 09:00:00.000,iOS,Set-top Box,Display,Debit Card,S1,app_data_source_3,35.07,6.73,35.28,19.01,189.95,2800.23,19.93,840.22,95.24,1040.77,62.62,2947.68,48.36,11.42,646.83,33.88,363.38,49.33,430.63,38.72,2092.25,128.97,324.18,4946.97,22.855547802
2023-08-25 03:00:00.000,iOS,Set-top Box,Gen AI Search,Bank Transfer,S3,app_data_source_3,0.53,7.88,64.26,89.12,216.16,3720.72,3.63,980.52,4.81,1929.27,159.88,348.87,42.2,7.3,337.9,53.89,280.47,23.69,159.77,32.24,1267.24,290.23,513.43,7263.28,1.202046653
2024-02-19 21:00:00.000,Linux,Tablet,QR code,Debit Card,F2,app_data_source_1,72.27,9.84,55.63,97.42,86.78,901.14,12.31,248.53,96.51,85.31,183.36,1426.63,27.61,36.57,610.37,59.24,229.05,5.9,170.52,452.53,1916.46,197.79,710.39,3257.87,7.212852015
2023-02-06 00:00:00.000,Linux,Other,Social Media Campaigns,Rupay,S1,app_data_source_3,84.86,8.09,49.89,149.04,24.55,142.8,5.21,211.25,54.56,2056.14,138.78,2964.52,92.64,2.88,546.13,30.05,133.47,4.43,319.23,218,2194.44,131.87,503.64,3913.6,22.480624858
2025-03-21 19:00:00.000,iOS,Tablet,Paid Search,Bank Transfer,S2,app_data_source_1,22.28,2.22,38.5,149.62,56.76,583.46,3.56,769.05,31.66,3197.77,132.01,4190.26,36.77,36.11,265.32,5.88,203.22,53.9,289.59,354.58,2626.48,126.86,219.63,656.14,33.030584897
2024-02-13 16:00:00.000,Windows,Other,Social Network Referrals,Bank Transfer,S1,app_data_source_2,52.61,0.65,91.68,28.47,61.8,4814.15,5.47,112.76,31.37,1565.32,36.78,390.69,20.19,18.79,886.15,61.35,387.8,64.26,445.91,66.25,1125.73,140.03,990.67,6460.29,2.79004499
2024-11-02 12:00:00.000,Linux,Television,Display,Bank Transfer,S3,app_data_source_3,28.24,9.75,52.38,134.02,241.25,2755.39,13.22,583.84,3.45,92.96,321.9,3581.47,94.27,31.19,175.82,94.61,242.39,55.84,202.59,449.99,1646.87,177.15,508.3,2167.31,20.217160598
2024-12-21 00:00:00.000,macOS,Other,Social Media Campaigns,Credit Card,S4,app_data_source_3,98.22,6.54,47.7,23.8,118.87,3439.27,7.16,451.31,68.5,4621.47,304.88,2812.26,77.24,15.13,58.03,82.17,200.33,38.09,231.49,84,2080.99,239.95,765.18,8084.2,11.720191707
2023-03-24 13:00:00.000,Android,Other,Social Network Referrals,Debit Card,S2,app_data_source_2,38.19,6.06,27.7,30.19,297.22,1121.41,12.45,637.64,71.01,2914.58,60.35,2155.2,77.55,9.57,314.09,39.48,355.1,48.43,473.13,115.19,1006.83,4.6,901.24,2843.84,468.52173913
2024-02-20 04:00:00.000,Windows,Tablet,Gen AI Search,Debit Card,S2,app_data_source_3,67.03,1.74,12.1,46.01,255.92,3487.46,7.75,976.65,31.07,2554.33,89.43,652.62,32.57,9.13,952.9,24.43,92.55,61.97,202.44,200.32,1469.3,202.2,385.65,5053.28,3.227596439
2025-07-06 22:00:00.000,Android,Tablet,Social Media Campaigns,Bank Transfer,S2,app_data_source_1,67.87,6.53,1.6,111.33,86.75,1127.44,3.11,264.46,7.48,3322.4,273.7,4467.65,5.41,1.85,888.01,61.64,473.69,65.42,142.99,292.31,2810.71,205.95,100.67,212.71,21.692886623
2025-05-18 09:00:00.000,Linux,Tablet,Gen AI Search,Bank Transfer,F3,app_data_source_2,75.89,9.05,79.56,55.04,232.89,133.45,3.36,162.17,51.32,4154.25,200.11,3654.74,26.42,10.17,144.37,78.4,179.17,31.25,317.71,205.08,655.36,1.48,337.3,822.1,2469.418918919
2024-11-24 18:00:00.000,Android,Tablet,Other Links,Bank Transfer,F2,app_data_source_3,23.29,1.12,0.46,44.94,235.08,4344.88,2.94,26.43,26.68,1671.4,196.54,4240.39,3.82,44.65,248.75,84.23,437.48,26.26,7.77,60.46,1666.09,116.62,305.13,4949.77,36.360744298
2023-11-06 08:00:00.000,macOS,Set-top Box,Social Media Campaigns,Rupay,S4,app_data_source_3,82.74,1.49,93.42,105.13,116.82,1404.32,15.15,103.29,86.39,1685.28,60.42,705.36,62.55,21.18,476.84,97.08,323.21,41.5,384.27,444.82,1478.27,128.56,786.59,864.43,5.486621033
2024-03-11 09:00:00.000,Linux,Tablet,Display,GPay,F5,app_data_source_2,73.83,1.67,6.73,110.77,92.35,3881.43,11.78,512.44,51.03,58.65,443.55,462.5,42.55,21.03,570.57,41.31,204.52,97.22,200.88,308.65,1263.34,16.82,738.16,2033.87,27.497027348
2025-04-19 22:00:00.000,macOS,Mobile Phone,Gen AI Search,Debit Card,S3,app_data_source_3,92.76,9.82,29.06,121.16,166.02,2775.68,11.48,373.29,94.26,860.55,363.29,2637.12,26.91,23.35,78.13,1.74,321.07,71.85,219.28,433.32,2507.87,30.6,49.83,9124.55,86.180392157
2024-03-08 19:00:00.000,macOS,Other,Other Links,GPay,F5,app_data_source_2,41.51,2.82,98.23,80.06,118.83,343.61,10.76,293.19,15.11,1152.4,81.29,4352.82,71.37,6.53,130.12,85.29,3.68,19.87,233.14,285.98,2594.13,107.1,981.51,2387.52,40.642577031
2024-10-05 13:00:00.000,Android,Mobile Phone,Display,Bank Transfer,F2,app_data_source_2,78.76,3.27,95.37,19.23,299.22,581.17,17.72,208.05,28.68,3261.05,52.07,2669.41,70.22,35.86,866.25,38.95,197.75,20.76,404.95,465.31,2027.31,62.65,235.13,7657.14,42.60830008
2025-02-13 02:00:00.000,Linux,Set-top Box,Video,Debit Card,F3,app_data_source_2,60.94,7.79,35.93,88.48,261.61,1119.89,2.47,136.16,45.34,4399.91,405.72,1780,77.05,3.33,714.98,98.76,216.76,94.3,325.38,300.49,1191.55,68.94,825.96,3650.76,25.819553235
2024-05-12 18:00:00.000,Android,Tablet,Video,Debit Card,S4,app_data_source_1,15.31,4.03,30.05,86.48,8.43,2181.12,6.97,552.56,31.07,2695.92,215.01,1030.08,70.59,44.23,468.86,65.69,487.18,93.08,324.81,19.39,2264.3,276.53,593.87,6806.14,3.725020793
2023-04-24 02:00:00.000,Android,Tablet,Social Media Campaigns,Debit Card,F5,app_data_source_2,89.8,4.47,15.2,122.64,265.67,3848.65,6.41,838.11,94.27,552.94,406.18,437.66,37.71,29.83,217.87,31.36,484.95,61.86,398.32,126.85,353.48,10.41,11.44,5729.97,42.042267051
2025-05-20 14:00:00.000,Linux,Television,Display,GPay,S4,app_data_source_2,13.85,7.97,57.23,30.54,50.05,2887.11,6.19,914.59,29.91,2303.64,492.07,1862.31,41.06,22.29,704.23,90.52,221.05,2.89,28.44,153.06,358.9,140.42,720.79,2045.25,13.262427005
2023-01-15 21:00:00.000,Windows,Tablet,Social Network Referrals,Credit Card,S1,app_data_source_2,74.11,3.66,54,89.22,43.22,479.95,19.95,383.1,99.47,1078.73,151.81,2297.3,87.13,16.55,867.54,76.44,275.65,53.57,72.06,179.31,642.66,44.25,24.92,8067.1,51.916384181
2023-02-24 11:00:00.000,Windows,Other,Push Notification,Debit Card,S3,app_data_source_2,43.99,0.84,53.91,110.58,294.02,3065.75,17.74,56.28,1.16,435.87,96.78,3416.31,95.25,36.99,305.59,6.05,118.23,43.86,198.01,152.87,163.43,129.48,26.14,7525.49,26.384847081
2023-04-04 03:00:00.000,Linux,Tablet,Video,GPay,F3,app_data_source_3,94.17,2.27,63.92,141.13,290.83,1223.24,4.27,708.07,17.49,476.87,393.39,1779.67,51.19,21.22,430.25,51.93,479.13,13.11,107.79,178.63,1423.23,187.15,184.88,3654.21,9.509324072
2024-02-19 09:00:00.000,iOS,Set-top Box,QR code,Rupay,F5,app_data_source_2,66.01,0.13,65.13,44.39,203.06,4787.36,5.34,795.21,10.83,3562.17,338.85,878.17,50.86,39.71,783.94,60.59,434.79,54.01,216.96,419.41,1334.74,93.67,327.45,2552.53,9.375146792
2025-08-25 14:00:00.000,Windows,Other,Social Media Campaigns,Bank Transfer,S1,app_data_source_2,35.26,0.01,56.64,56.03,83.37,2732.64,15.62,516.19,38.93,2698.71,350.17,3758.81,88.7,41.89,825.96,36.67,179.37,58.73,342.74,222.56,1078.01,45.41,419.03,1522.15,82.774939441
2025-01-25 03:00:00.000,Linux,Set-top Box,Push Notification,GPay,S2,app_data_source_1,25.39,0.17,92.39,54.96,154.85,409.87,7.6,944.68,54.14,4278.03,345.29,4240.12,3.44,25.84,305.2,58.78,406.67,92.7,276.31,189.48,1254.08,224.96,863.37,8105.75,18.848328592
2025-08-16 21:00:00.000,Windows,Other,Video,Credit Card,F3,app_data_source_2,99.96,0.25,71.83,141.69,26.46,1902.18,5.48,646.5,38.49,450.14,394.7,215.21,2.53,37.34,806.75,6.05,129.48,86.09,288.47,367.17,2670.19,30.77,629.29,2741.42,6.994150146
2024-09-12 21:00:00.000,iOS,Tablet,Social Media Campaigns,Credit Card,F1,app_data_source_1,67.15,1.49,68.17,93.21,213.66,195.93,6.26,531.55,20.53,3058.6,281.86,723.51,1.48,41.59,252.5,63.31,59.24,42.77,154.73,206.36,2770.91,20.96,360.65,3163.78,34.51860687
2024-02-19 06:00:00.000,Windows,Tablet,Display,Bank Transfer,F2,app_data_source_3,14.34,0.43,54.95,49.72,62.84,2333.23,8.37,438.63,23.8,1772.24,147.38,1294.91,35.43,43.56,764.9,61.73,393.8,94.43,79.27,184.52,1551.86,251.16,589.91,6387.3,5.155717471
2023-01-10 11:00:00.000,Windows,Mobile Phone,Gen AI Search,Rupay,S2,app_data_source_2,65.52,9.25,82.55,80.34,23.2,1782.13,8.42,166,63.01,2957.84,96.44,836.24,37.51,3.06,492.15,28.37,221.5,10.37,468.57,26.79,335.48,57.19,120.37,7553.76,14.622136737
2023-08-14 06:00:00.000,Linux,Television,Gen AI Search,Rupay,F1,app_data_source_1,47.27,3.34,22.16,19.82,147.67,3625.53,3.27,836.86,13.24,769.78,105.28,3490.91,83.38,11.89,116.99,94.63,250.76,27.12,379.26,390.23,2031.22,221.15,29.82,1518.77,15.785258874
2023-02-07 12:00:00.000,iOS,Television,Video,Credit Card,S2,app_data_source_3,50.58,8.84,39.91,51.74,63.89,1110.08,17.45,38.66,36.7,2776.49,294.26,1163.23,29.83,9.46,896.55,58,405.38,59.86,44.51,1.41,97.05,249.74,467.78,6334.53,4.657764075
2025-06-19 03:00:00.000,iOS,Set-top Box,Paid Search,Rupay,F1,app_data_source_1,0.19,1.95,55.54,91.38,197.03,4317.46,3.6,967.94,9.48,1388.92,139.5,4233.41,93.08,44.13,484.92,47.6,332.53,93.75,371.99,317.75,2665.96,132.65,518.75,7889.97,31.914134942
2025-03-22 16:00:00.000,Windows,Mobile Phone,Other Links,Credit Card,S1,app_data_source_1,42.52,4.77,31.11,137.22,104.16,905.14,13.74,633.45,20.08,281.98,309.5,3229.85,34.25,2.29,680.97,38.15,351.05,22.86,324.15,366.74,396.48,151.1,575.12,2071.71,21.375579087
2025-03-27 07:00:00.000,macOS,Set-top Box,Social Media Campaigns,Credit Card,S3,app_data_source_2,31.73,8.8,42.33,133.35,140.48,660.11,11.64,505.43,10.78,1202.91,366.65,2099.41,12.97,9.68,751.29,88.58,299.06,57.42,350.11,102.78,1491.14,197.02,748.83,4997.67,10.655821744
2024-12-06 23:00:00.000,macOS,Television,Push Notification,Credit Card,F3,app_data_source_2,63.9,9.41,59.6,138.62,27.63,2434.47,15.13,614.89,47.27,4507.24,2.53,3052.69,87.08,0.14,911.08,2.77,442.51,86.31,232.72,225.9,2662.32,48.79,804.35,9403.75,62.567944251
2024-02-13 08:00:00.000,macOS,Other,Paid Search,Rupay,S4,app_data_source_1,74.98,1.66,51.11,147.23,288.33,3380.57,14.49,631.25,12.19,656.88,167.5,2730.49,69.32,17.03,706.98,82.2,470.53,46.22,243.8,41.41,2274.22,215.89,662.14,2710.63,12.647598314
2025-02-15 20:00:00.000,Windows,Set-top Box,Social Network Referrals,Bank Transfer,F3,app_data_source_3,36.53,1.14,81.28,104.03,151.4,1465.96,12.63,55.47,38.83,2405.4,106.36,2996.32,20.68,47.48,876.69,56.19,363.72,36.24,242.71,322.42,2224.71,227.58,162.45,2319.79,13.166007558
2023-10-04 09:00:00.000,macOS,Mobile Phone,QR code,GPay,F3,app_data_source_2,40.25,2.77,23.28,78.44,214.73,2397.36,8.7,898.68,66.27,897.87,21.83,2405.53,65.16,0.84,671.66,60.5,335.43,54.33,209.58,202.46,892.59,257.01,446.73,9602.14,9.359674721
2023-09-12 00:00:00.000,Linux,Set-top Box,Gen AI Search,Rupay,S2,app_data_source_1,80.27,5.84,72.11,82.18,85.94,2250.39,4.11,498.55,54.93,2891.26,14.65,3710.62,70.49,23.2,90.93,15.65,9.69,59.68,414.46,121.44,765.29,13.73,761.98,7795.33,270.256372906
2024-09-12 09:00:00.000,macOS,Television,Paid Search,Rupay,F5,app_data_source_2,64.68,5.87,74.76,145.44,206.23,1319.97,14.61,317.37,69.9,3572.23,155.71,2114.81,6.51,49.58,735.96,23.27,258.12,88.16,109.83,133.24,1551.66,89.75,511.15,8010.73,23.563342618
2025-06-03 00:00:00.000,Android,Other,Other Links,Bank Transfer,F2,app_data_source_2,60.61,4.74,98.87,118.95,41.92,3148.19,2.04,566.44,99.13,476.66,397.74,1436.75,88.4,5.66,872.37,94.46,427.8,22.49,284.87,296.45,352.44,277.24,724.64,9751.06,5.182332997
2025-08-12 12:00:00.000,Linux,Mobile Phone,Other Links,Credit Card,F1,app_data_source_1,19.36,5.77,38.22,22.3,298,3909.34,4.53,867.31,29.14,3968.37,41.4,1193.22,44.87,39.15,458.98,46.04,73.09,34.63,7.26,184.39,2084.23,272.87,766.94,2675.32,4.372851541
2024-08-21 16:00:00.000,Windows,Other,Social Media Campaigns,GPay,S2,app_data_source_2,87.99,7.84,10.73,43.9,111.45,3036.99,16.32,809.01,60.68,682.86,424.49,1875.82,0.21,28.36,713.13,5.99,262.63,36.98,374.34,96.96,2562.88,94.83,439.81,4637.84,19.780871032
2023-07-19 21:00:00.000,iOS,Set-top Box,Display,Rupay,F2,app_data_source_3,1.81,3.87,74.37,52.44,292.77,4559,5.52,395.31,6.71,2693.45,295.75,1960.03,34.93,22.36,102.66,68.89,130.21,32.28,168.71,196.8,1217.09,168.49,19.6,3190.1,11.6329159
2025-09-07 05:00:00.000,iOS,Mobile Phone,Display,GPay,F5,app_data_source_3,81.47,8.68,33.79,141.12,140.18,3324.2,13.85,631.12,79.56,2179.12,130.51,1448.42,79.49,46.63,955.34,6.24,399.57,51.98,492.97,85.46,694.05,230.4,853.25,6359.83,6.286545139
2024-12-27 07:00:00.000,Android,Set-top Box,Other Links,GPay,S1,app_data_source_2,56.54,3.76,68.71,26.39,239.08,4128.68,4.16,322.86,61.92,3838.19,136.62,1495.26,92.92,1.25,193.1,56.5,477.37,51.31,250.64,404.72,2817.05,139.36,873.89,7315.53,10.729477612
2024-11-15 07:00:00.000,Windows,Tablet,Other Links,Rupay,S2,app_data_source_3,9.17,8.91,48.91,46.63,223.43,3770.13,16.7,488.04,9.41,3691.22,297.52,988.64,20.79,16.78,859.86,66.51,489.79,77.65,45.19,457.36,1798.82,76.08,230.68,5017.18,12.994742376
2025-07-19 03:00:00.000,macOS,Set-top Box,QR code,GPay,F2,app_data_source_2,76.12,9.29,58.33,138.14,163.3,2695.96,4.91,71.23,59.56,1161.71,437.58,2827.07,26.42,6.49,60.8,85.59,485.41,9.33,81.18,394.27,1238.25,59.33,889.62,6037.33,47.649924153
2023-06-13 00:00:00.000,Linux,Television,Video,Bank Transfer,S3,app_data_source_1,74.62,4.95,86.82,27.93,85.12,3054.9,14.21,709.36,79.59,4594.91,363.64,4097.34,85.83,12.91,45.15,47.45,139.69,1.27,266.3,199.07,2921.48,209.95,988.73,6979.24,19.515789474
2025-03-13 21:00:00.000,macOS,Tablet,Paid Search,Rupay,F2,app_data_source_1,99.23,3.67,20.64,9.97,2.75,1276,16.81,907.39,31.72,3940.84,27.01,4474.64,31.91,37.62,384.43,77.57,124.7,13.14,1.71,397.04,2650.85,128.2,809.72,8298.21,34.903588144
2023-02-22 12:00:00.000,Windows,Television,Other Links,Debit Card,S2,app_data_source_1,49.9,8.59,97.44,4.76,86.87,864.71,9.52,317.39,82.61,3201.71,246.9,1250.38,4.68,41.68,858.98,81.63,126.09,36.66,181.99,54.66,2000.59,0.42,883.09,9808.17,2977.095238095
2025-03-23 05:00:00.000,Android,Other,Other Links,Rupay,S1,app_data_source_3,46.66,9.9,47.42,131.71,23,2306.83,19.99,485.92,54.44,1342.96,30.32,1564.82,44.09,11.77,140.37,5.43,477.44,76.1,452.04,218.16,313.17,16.64,201.41,878.03,94.039663462
2024-02-20 09:00:00.000,Linux,Television,Paid Search,Debit Card,F3,app_data_source_1,91.09,4.86,63.69,96.85,153.31,3113.74,7.91,408.66,31.44,2743.94,316.36,4140.98,12.9,44.02,808.69,99.7,62.86,7.44,306.27,375.51,1044.19,159.53,390.6,7284.49,25.957374788
2024-05-04 04:00:00.000,iOS,Other,Social Media Campaigns,GPay,F3,app_data_source_1,81.85,9.67,30.12,135.92,4.96,3240.96,5.54,642.91,31.08,192.26,485.29,4432.24,16.77,37.06,198.94,0.15,78.3,99.11,116.5,315.38,1078.53,12.08,891.13,8623.41,366.907284768
2023-07-29 01:00:00.000,Android,Tablet,Paid Search,GPay,F5,app_data_source_2,82.87,7.36,92.86,41.87,113.75,4311.18,18.73,63.21,16.11,1103.72,60.36,1656.41,53.07,17.64,626.39,89.03,482.97,20.74,177.52,334.08,2740.54,221.92,447.9,3219.22,7.463996035
2024-11-16 03:00:00.000,Windows,Other,Other Links,Debit Card,S1,app_data_source_2,70.04,3.04,35.65,82.08,268.47,4430.21,7.06,164.54,25.73,4472.95,130.35,3102.23,77.67,35.44,894.13,75.92,352.8,97.38,22.73,309.94,2607.76,110.56,541.73,9949.65,28.059243849
2023-10-30 18:00:00.000,Linux,Set-top Box,Paid Search,GPay,F1,app_data_source_3,48.55,4.54,40.64,12.89,245,2487.76,2.98,816.37,91.65,1391.77,418.27,2713.89,71.23,38.34,304.67,82.32,355.71,25.17,36.65,351.81,1007.11,228.12,260.95,2737.45,11.896764861
